Obs,Inputfile,YEAR,AUTHOR,AUTHOR_t,GENDER,Gender,AUTHORS,Par_per_doc,Zin_per_doc,Word_per_doc,Alpino_status,Let_per_wrd_zn,Morf_per_wrd_zn,Let_per_wrd_nsam,Wrd_freq_zn_log,Conc_bvnw_ruim_p,Conc_nw_ruim_p,Conc_ww_p,Alg_nw_p,Alg_ww_p,Pv_Frog_per_zin,Bijw_bep_dz,Bijv_bep_dz,Bijzin_per_zin,D_level,Wrd_per_dz,Mv_inbed_per_zin,MTLD_lem,Namen_p,Abstr_ww_p
21,input/GID_1903_81_Byvanck.txt,1903,Byvanck ,Byvanck,M,M,M.20,1,13,491,1,4.77137,1.38034,7.31868,4.192,0.142857,0.45,0.0512821,0.19,0.102564,4.15385,1.3125,1.47917,NA,5.30769,10.2292,NA,15.5825,0.188525,0.730769
22,input/JAA_1950_29_C.G.N de Vooys.txt,1950,C.G.N. de Vooys ,C.G.N. de Vooys,M,M,M.15,1,14,477,2,5.26077,1.46032,8.34483,4.20569,0.129032,0.351852,0.016129,0.185185,0.241935,2.71429,1.34211,2.26316,NA,3.85714,12.5526,NA,10.7927,0.274809,0.677419
23,input/TAA_1913_45_C.G.N. de Vooys.txt,1913,C.G.N. de Vooys ,C.G.N. de Vooys,M,M,M.15,1,31,611,0,5.14516,1.46237,7.64035,4.11273,0.152174,0.402597,0.0266667,0.155844,0.186667,1.48387,1.05455,2.14545,0.709677,2.29032,11.1091,0.0967742,73.7632,0.297753,0.813333
24,input/TAA_1923_45_C.G.N. de Vooys.txt,1923,C.G.N. de Vooys ,C.G.N. de Vooys,M,M,M.15,1,43,782,0,5.52584,1.5168,9.08861,4.1124,0.193548,0.156863,0,0.287582,0.162162,1.32558,0.85,1.6625,1.16279,2.23256,9.775,0.27907,81.9198,0.0421053,0.837838
25,input/TAA_1940_28_C.G.N. de Vooys.txt,1940,C.G.N. de Vooys ,C.G.N. de Vooys,M,M,M.15,1,23,520,0,5.2572,1.52263,7.33981,4.01087,0.106383,0.383333,0.0375,0.158333,0.2,1.78261,1.28571,2.30952,0.869565,3.34783,12.381,0.26087,91.6025,0.237762,0.7875
26,input/TAA_1930_46_C.G.N. de Vooys.txt,1930,C.G.N. de Vooys ,C.G.N. de Vooys,M,M,M.15,1,22,579,1,5.42085,1.50193,9.15,3.81931,0.243902,0.475524,0.0289855,0.216783,0.231884,2.22727,1,1.96078,NA,2.90909,11.3529,NA,35.4356,0.346591,0.724638
27,input/GID_1889_67_Carelsen.txt,1889,Carelsen ,Carelsen,F,F,F.44,1,19,535,0,5,1.42694,7.04762,4.06346,0.296296,0.4,0.038961,0.176471,0.12987,2.89474,0.796296,1.33333,1.36842,3.42105,9.90741,0.315789,104.191,0.0740741,0.792208
28,input/ONT_1961_149_Cheixaou.txt,1961,Cheixaou ,Cheixaou,F,F,F.1,1,21,621,1,5.18802,1.48087,7.66364,3.94987,0.2,0.422018,0.0654206,0.0733945,0.0560748,3.09524,1.16129,1.8871,NA,4.42857,10.0161,NA,25.1297,0.148148,0.626168
29,input/GRO_1910_34_Coenen.txt,1910,Coenen ,Coenen,M,M,M.28,1,15,435,1,5.16106,1.34135,7.24242,4.02749,0.0588235,0.388889,0.0166667,0.259259,0.133333,2.6,1.2439,1.29268,NA,4.2,10.6098,NA,12.0694,0.218391,0.8
30,input/GID_1963_52_Condstandse.txt,1963,Constandse ,Constandse,M,M,M.25,1,22,501,1,5.02609,1.39348,6.74699,4.27337,0.212121,0.617391,0.0444444,0.0782609,0.144444,2.5,0.962963,1.35185,NA,3.31818,9.27778,NA,26.3221,0.312977,0.866667
31,input/GID_1971_1_Constandse.txt,1971,Constandse ,Constandse,M,M,M.25,1,19,483,1,5.67427,1.51867,7.82857,4.29834,0.222222,0.238532,0,0.220183,0.20202,2.15789,1.29268,1.95122,NA,3.36842,11.7805,NA,25.235,0.00854701,0.89899
32,input/GID_1894_10_Couperus.txt,1894,Couperus ,Couperus,M,M,M.8,1,31,645,3,4.90698,1.33887,7.21239,4.23914,0.190476,0.5,0.010989,0.0692308,0.164835,2,1.14516,1.58065,NA,3.09677,10.4032,NA,14.0586,0.26875,0.802198
33,input/DIE_1989_7_de Jong.txt,1989,de Jong ,de Jong,F,F,F.12,1,21,593,1,5.25451,1.44224,7.88136,4.14651,0.212121,0.357664,0.0113636,0.167883,0.159091,2.52381,1.2449,2.36735,NA,3.38095,12.102,NA,24.3454,0.23494,0.852273
34,input/SPI_1978_9_de Jong.txt,1978,de Jong ,de Jong,F,F,F.12,1,16,457,3,5.68632,1.51179,8.09195,4.09551,0.1,0.305556,0,0.12963,0.210526,2.1875,1.39394,3.0303,NA,2.625,13.8485,NA,8.12525,0.257812,0.789474
35,input/DIE_1991_108_de Martelaere.txt,1991,de Martelaere ,de Martelaere,F,F,F.23,1,23,587,0,5.70732,1.49303,8.63889,4.5223,0.140351,0.348214,0,0.375,0.375,1.82609,1.4386,1.68421,1.65217,2.82609,10.2982,0.217391,103.213,0.103175,0.9125
36,input/GID_1984_264_de Martelaere.txt,1984,de Martelaere ,de Martelaere,F,F,F.23,1,26,629,0,5.36089,1.48331,7.89109,4.52669,0.0212766,0.107843,0.00740741,0.392157,0.140741,2.80769,1.01493,1.41791,1.84615,4.65385,9.38806,0.5,85.6522,0,0.888889
37,input/GID_1910_117_de Meester.txt,1910,de Meester ,de Meester,M,M,M.30,1,24,585,0,5.37634,1.44086,7.68421,4.1481,0.240741,0.571429,0.0188679,0.0625,0.122642,2.16667,1.56604,1.33962,1.5,3.375,11.0377,0.375,129.436,0.195652,0.830189
38,input/DIE_1978_87_Desmedts.txt,1978,Demedts André,Demedts André,M,M,M.18,1,14,473,2,5.49433,1.4966,7.66667,3.93539,0.0930233,0.314286,0,0.152381,0.20339,2.57143,1.58824,3.17647,NA,3,13.9118,NA,12.7492,0.240602,0.762712
39,input/DIE_1981_10_Demedts.txt,1981,Demedts André,Demedts André,M,M,M.18,1,23,535,0,5.61174,1.53409,9.23301,3.93409,0.0869565,0.189474,0,0.263158,0.247059,2.13043,1,2.07843,1.04348,3.21739,10.4902,0.0869565,113.017,0.0578512,0.741176
40,input/DIE_1938_54_Demedts.txt,1938,Demedts Gabriëlle,Demedts Gabriëlle,F,F,F.15,1,51,606,0,4.44724,1.29816,5.86076,4.66447,0.411765,0.666667,0.0704225,0.0714286,0.119718,1.88235,1.07527,0.27957,0.529412,2.23529,6.51613,0,83.0936,0.0957447,0.725352
41,input/NVT_1965_132_Dhaen.txt,1965,Dhaen ,Dhaen,F,F,F.7,1,39,717,0,4.67847,1.34703,6.89815,4.8596,0.164179,0.5,0.00719424,0.186441,0.258993,1.97436,0.844444,0.844444,0.923077,2.97436,7.96667,0.179487,48.0924,0.088,0.76259
42,input/NVT_1950_117_Dhaen.txt,1950,Dhaen ,Dhaen,F,F,F.7,1,35,681,0,4.74398,1.35843,5.75419,3.40454,0.390244,0.584416,0.336449,0.0194805,0.0373832,2.31429,0.9625,1.2125,0.742857,3.11429,8.5125,0.0285714,122.216,0.0854271,0.476636
43,input/DIE_1984_84_Dhaen.txt,1984,Dhaen ,Dhaen,F,F,F.7,1,31,673,0,5.21235,1.42169,6.4697,3.61983,0.355932,0.550296,0.227273,0.0591716,0.1,2.58065,0.987952,1.42169,0.741935,3.3871,8.10843,0.0322581,233.982,0.0414747,0.490909
44,input/DIE_1948_13_Dhaen.txt,1948,Dhaen ,Dhaen,F,F,F.7,1,25,655,1,4.82965,1.34543,6.225,3.38539,0.313725,0.535714,0.235294,0.05,0.0588235,2.56,1.18519,2.35185,NA,3.44,12.1296,NA,38.6437,0.113514,0.541176
45,input/NIE_1960_12_Donkersloot.txt,1960,Donkersloot ,Donkersloot,M,M,M.14,1,43,715,0,4.80477,1.37109,7.24528,4.56909,0.122449,0.464789,0.0530973,0.176056,0.176991,1.83721,1.07595,1.22785,0.767442,2.30233,9.05063,0.139535,58.2653,0.280255,0.80531
46,input/NIE_1954_54_Donkersloot.txt,1954,Donkersloot ,Donkersloot,M,M,M.14,1,19,559,1,5.83272,1.53125,9,4.17883,0.0793651,0.252033,0.0169492,0.219512,0.322034,1.52632,1.24324,3.10811,NA,3.63158,15.1081,NA,13.8649,0.106383,0.830508
47,input/DIE_1919_60_Duykens.txt,1919,Duykens ,Duykens,F,F,F.43,1,84,933,0,4.24161,1.24385,5.64035,4.68348,0.338235,0.828571,0.0947867,0.0357143,0.0853081,1.7619,0.810458,0.385621,0.654762,1.84524,6.09804,0.0952381,80.2778,0.245283,0.582938
